,Open,Close,Date
0,40825.38,40339.04,"Sept 04,2021"
1,40126.3,40959.43,"Sept 03,2021"
2,40926.65,40763.04,"Sept 02,2021"
3,40506.13,40846.92,"Sept 01,2021"
4,41914.17,42777.67,"Aug 31,2021"
5,42859.35,42667.09,"Aug 30,2021"
6,42813.25,43167.28,"Aug 29,2021"
7,43739.81,43234.98,"Aug 28,2021"
8,43348.69,43670.24,"Aug 27,2021"
9,43774.68,43530.75,"Aug 26,2021"
10,43470.73,43620.78,"Aug 25,2021"
11,43566.32,43979.14,"Aug 24,2021"
12,44514.61,44022.77,"Aug 23,2021"
13,44314.01,45157.58,"Aug 22,2021"
14,44863.98,44351.78,"Aug 21,2021"
15,44508.76,43939.07,"Aug 22,2021"
16,44099.92,43704.07,"Aug 21,2021"
17,43572.95,44396.81,"Aug 20,2021"
18,43753.22,43461.96,"Aug 19,2021"
19,43567.53,43622.12,"Aug 18,2021"
20,43717.72,45671.39,"Aug 17,2021"
21,45779.42,45553.3,"Aug 16,2021"
22,45960.4,46433.43,"Aug 15,2021"
23,46059.53,46207.83,"Aug 14,2021"
24,46311,46090.72,"Aug 13,2021"
25,45753.42,45639.42,"Aug 12,2021"
26,45911.32,45498.01,"Aug 11,2021"
27,45387.09,45314.76,"Aug 10,2021"
28,45174.67,45311.54,"Aug 09,2021"
29,45519.08,45507.3,"Aug 08,2021"
30,45628.14,45297.28,"Aug 07,2021"
31,45612,46070.67,"Aug 06,2021"
32,46262.76,46075.57,"Aug 05,2021"
33,45889.31,46585.94,"Aug 04,2021"
34,46423.35,46302.05,"Aug 03,2021"
35,46361.91,45715.18,"Aug 02,2021"
36,45656.03,46165.29,"Aug 01,2021"
37,46021.2,45180.99,"Jul 31,2021"
38,45272.49,45411.13,"Jul 30,2021"
39,44763.18,44154.28,"Jul 29,2021"
40,44276.91,44513.77,"Jul 28,2021"
41,44438.03,43965.55,"Jul 27,2021"
42,44495.21,45405.42,"Jul 26,2021"
43,45315.3,45784.36,"Jul 25,2021"
44,46125.25,46281.8,"Jul 24,2021"
45,46239.36,46471.02,"Jul 23,2021"
46,46359.06,46502.01,"Jul 22,2021"
47,46329.66,47582.84,"Jul 21,2021"
48,47760.11,47542.18,"Jul 20,2021"
49,47532.32,47542.64,"Jul 19,2021"
50,47623.16,46216.67,"Jul 18,2021"
51,46572.49,46875.89,"Jul 17,2021"
52,46978.36,46754.67,"Jul 16,2021"
53,47156.96,46912.55,"Jul 15,2021"
54,47088.85,47258.27,"Jul 14,2021"
55,46923.97,46515.57,"Jul 13,2021"
56,45756.97,45945.98,"Jul 12,2021"
57,46060.59,45960.88,"Jul 11,2021"
58,46172.8,46260.06,"Jul 10,2021"
59,46358.52,47207.16,"Jul 09,2021"
60,47025,47862.15,"Jul 08,2021"
61,47385.26,47384.12,"Jul 07,2021"
62,47304.28,47355.57,"Jul 06,2021"
63,47414.47,46167.83,"Jul 05,2021"
64,46360.22,46422.95,"Jul 04,2021"
65,46262.22,46244.4,"Jul 03,2021"
66,45999.28,46419.6,"Jul 02,2021"
67,46387.71,45839.48,"Jul 01,2021"
68,45927.68,46778.93,"Jun 30,2021"
69,46970.34,46008.18,"Jun 29,2021"
70,45727.59,45710.32,"Jun 28,2021"
71,45427.44,44937.31,"Jun 27,2021"
72,44534.45,44953.67,"Jun 26,2021"
73,45030.1,45456.91,"Jun 25,2021"
74,45046.34,45394.46,"Jun 24,2021"
75,44809.22,45339.3,"Jun 23,2021"
76,45753.34,45517.3,"Jun 22,2021"
77,44894.63,44796.74,"Jun 21,2021"
78,44790.95,44678.53,"Jun 20,2021"
79,44217.62,44427.34,"Jun 19,2021"
80,44496.36,44431.44,"Jun 18,2021"
81,44352.29,45363.27,"Jun 17,2021"
82,45786.22,46639.3,"Jun 16,2021"
83,46741.31,46560.56,"Jun 15,2021"
84,46745.03,47165.04,"Jun 14,2021"
85,47050.81,47035.31,"Jun 13,2021"
86,46826.44,47135.95,"Jun 12,2021"
87,46898.14,48529.53,"Jun 11,2021"
88,48478.94,48418.44,"Jun 10,2021"
89,48691.87,49124.36,"Jun 09,2021"
90,49195.88,48852.08,"Jun 08,2021"
91,48844.53,48660.49,"Jun 07,2021"
92,48922.93,49072.52,"Jun 06,2021"
93,48572.97,49003.88,"Jun 05,2021"
94,49236.3,49542.66,"Jun 04,2021"
95,49021.21,49364.85,"Jun 03,2021"
96,48867.88,48851.09,"Jun 02,2021"
97,48789.26,49237.65,"Jun 01,2021"
98,49197.53,49253.16,"May 31,2021"
99,49061.08,48456.81,
100,48511.7,48493.33,
101,48544.36,49117.66,
102,49237.27,50050.34,
103,50169.54,50098.51,
104,50065.26,50080.08,
105,50311.82,49496.13,
106,49533.17,49532.43,
107,49256.7,49621.94,
108,49518.58,49180.5,
109,49375.99,49676.39,
110,49710.77,49260.18,
111,49389.98,48708.38,
112,48365.32,48124.79,
113,48525.15,48306.28,
114,47804.62,48288.08,
115,48140.33,48407.89,
116,48220.1,47564.82,
117,47595.64,48494.59,
118,48742.86,48922.71,
119,48753.77,48876.83,
120,48989.51,48720.92,
121,47962.35,46991.39,
122,47055.69,47113.07,
123,46923.88,46940.88,
124,46774.5,47054.29,
125,47011.3,47254.51,
126,47229.07,47322.01,
127,46840.06,47163.12,
128,47472.32,47444.05,
129,47635,48365.08,
130,48283.61,48402.89,
131,48395.33,49060.62,
132,49083.1,48986.02,
133,48934.6,49037.1,
134,48956.51,48931.53,
135,48796.04,48552.28,
136,48804.79,48926.73,
137,48683.96,48783.28,
138,48936.54,48803.46,
139,48346.04,48508.22,
140,48563.96,48689.59,
141,48285.52,48456.12,
142,48560.43,48786.57,
143,48837.54,49074.77,
144,48907.27,48525.24,
145,48026.03,48121.48,
146,48011.7,48208.08,
147,47962.52,47870.3,
148,48162.74,48585.84,
149,48594.48,47673.68,
150,47124.25,47081.63,
151,47291.21,47095.26,
152,47854.55,47559.88,
153,47962.48,47417.45,
154,47472.56,47368.77,
155,47358.08,47214.47,
156,47335.42,46961.45,
157,47039.72,47410.51,
158,47202.02,47588.38,
159,47765.51,47402.41,
160,47534.39,48751.95,
161,48233.38,48427.57,
